                                              R E A L   E I G E N V A L U E S
   MODE    EXTRACTION      EIGENVALUE            RADIANS             CYCLES            GENERALIZED         GENERALIZED
    NO.       ORDER                                                                       MASS              STIFFNESS
       69        69        3.047050E+07        5.520009E+03        8.785368E+02        1.000000E+00        3.047050E+07
       70        70        3.056910E+07        5.528933E+03        8.799570E+02        1.000000E+00        3.056910E+07
       71        71        3.103758E+07        5.571138E+03        8.866742E+02        1.000000E+00        3.103758E+07
       72        72        3.142343E+07        5.605661E+03        8.921686E+02        1.000000E+00        3.142343E+07
       73        73        3.171318E+07        5.631446E+03        8.962724E+02        1.000000E+00        3.171318E+07
       74        74        3.201324E+07        5.658024E+03        9.005026E+02        1.000000E+00        3.201324E+07
       75        75        3.302480E+07        5.746721E+03        9.146191E+02        1.000000E+00        3.302480E+07
       76        76        3.358804E+07        5.795519E+03        9.223855E+02        1.000000E+00        3.358804E+07
       77        77        3.411396E+07        5.840715E+03        9.295787E+02        1.000000E+00        3.411396E+07
       78        78        3.516353E+07        5.929884E+03        9.437704E+02        1.000000E+00        3.516353E+07
       79        79        3.555200E+07        5.962549E+03        9.489692E+02        1.000000E+00        3.555200E+07
       80        80        3.737901E+07        6.113838E+03        9.730475E+02        1.000000E+00        3.737901E+07
       81        81        3.825709E+07        6.185231E+03        9.844102E+02        1.000000E+00        3.825709E+07
       82        82        3.917050E+07        6.258634E+03        9.960925E+02        1.000000E+00        3.917050E+07
       83        83        3.925765E+07        6.265592E+03        9.972000E+02        1.000000E+00        3.925765E+07
       84        84        3.987232E+07        6.314453E+03        1.004976E+03        1.000000E+00        3.987232E+07
       85        85        4.022154E+07        6.342045E+03        1.009368E+03        1.000000E+00        4.022154E+07
       86        86        4.109362E+07        6.410431E+03        1.020252E+03        1.000000E+00        4.109362E+07
       87        87        4.189656E+07        6.472755E+03        1.030171E+03        1.000000E+00        4.189656E+07
       88        88        4.251518E+07        6.520366E+03        1.037749E+03        1.000000E+00        4.251518E+07
       89        89        4.285510E+07        6.546380E+03        1.041889E+03        1.000000E+00        4.285510E+07
       90        90        4.312131E+07        6.566682E+03        1.045120E+03        1.000000E+00        4.312131E+07
       91        91        4.407072E+07        6.638578E+03        1.056563E+03        1.000000E+00        4.407072E+07
       92        92        4.489302E+07        6.700225E+03        1.066374E+03        1.000000E+00        4.489302E+07
       93        93        4.530538E+07        6.730927E+03        1.071260E+03        1.000000E+00        4.530538E+07
       94        94        4.583011E+07        6.769794E+03        1.077446E+03        1.000000E+00        4.583011E+07
       95        95        4.603397E+07        6.784834E+03        1.079840E+03        1.000000E+00        4.603397E+07
       96        96        4.689331E+07        6.847869E+03        1.089872E+03        1.000000E+00        4.689331E+07
       97        97        4.699174E+07        6.855052E+03        1.091015E+03        1.000000E+00        4.699174E+07
       98        98        4.750018E+07        6.892037E+03        1.096902E+03        1.000000E+00        4.750018E+07
       99        99        4.842938E+07        6.959122E+03        1.107579E+03        1.000000E+00        4.842938E+07
      100       100        4.858469E+07        6.970272E+03        1.109353E+03        1.000000E+00        4.858469E+07
      101       101        4.904454E+07        7.003180E+03        1.114591E+03        1.000000E+00        4.904454E+07
      102       102        4.957132E+07        7.040690E+03        1.120561E+03        1.000000E+00        4.957132E+07
      103       103        4.972344E+07        7.051485E+03        1.122279E+03        1.000000E+00        4.972344E+07
      104       104        5.012265E+07        7.079735E+03        1.126775E+03        1.000000E+00        5.012265E+07
      105       105        5.027555E+07        7.090525E+03        1.128492E+03        1.000000E+00        5.027555E+07
      106       106        5.029386E+07        7.091817E+03        1.128698E+03        1.000000E+00        5.029386E+07
      107       107        5.123510E+07        7.157870E+03        1.139210E+03        1.000000E+00        5.123510E+07
      108       108        5.155010E+07        7.179840E+03        1.142707E+03        1.000000E+00        5.155010E+07
      109       109        5.161147E+07        7.184112E+03        1.143387E+03        1.000000E+00        5.161147E+07
      110       110        5.172066E+07        7.191708E+03        1.144596E+03        1.000000E+00        5.172066E+07
      111       111        5.215556E+07        7.221881E+03        1.149398E+03        1.000000E+00        5.215556E+07
      112       112        5.223218E+07        7.227183E+03        1.150242E+03        1.000000E+00        5.223218E+07
      113       113        5.307078E+07        7.284970E+03        1.159439E+03        1.000000E+00        5.307078E+07
      114       114        5.352657E+07        7.316186E+03        1.164407E+03        1.000000E+00        5.352657E+07
      115       115        5.464792E+07        7.392423E+03        1.176541E+03        1.000000E+00        5.464792E+07
      116       116        5.489763E+07        7.409293E+03        1.179226E+03        1.000000E+00        5.489763E+07
      117       117        5.514578E+07        7.426021E+03        1.181888E+03        1.000000E+00        5.514578E+07
      118       118        5.526915E+07        7.434322E+03        1.183209E+03        1.000000E+00        5.526915E+07
      119       119        5.553793E+07        7.452378E+03        1.186083E+03        1.000000E+00        5.553793E+07
      120       120        5.622895E+07        7.498596E+03        1.193439E+03        1.000000E+00        5.622895E+07
      121       121        5.679258E+07        7.536085E+03        1.199405E+03        1.000000E+00        5.679258E+07
      122       122        5.720211E+07        7.563207E+03        1.203722E+03        1.000000E+00        5.720211E+07
      123       123        5.780386E+07        7.602885E+03        1.210037E+03        1.000000E+00        5.780386E+07
      124       124        5.946941E+07        7.711641E+03        1.227346E+03        1.000000E+00        5.946941E+07
      125       125        6.025123E+07        7.762167E+03        1.235387E+03        1.000000E+00        6.025123E+07
      126       126        6.049359E+07        7.777762E+03        1.237869E+03        1.000000E+00        6.049359E+07
      127       127        6.092152E+07        7.805224E+03        1.242240E+03        1.000000E+00        6.092152E+07
      128       128        6.126029E+07        7.826895E+03        1.245689E+03        1.000000E+00        6.126029E+07
      129       129        6.142274E+07        7.837266E+03        1.247340E+03        1.000000E+00        6.142274E+07
      130       130        6.351156E+07        7.969414E+03        1.268372E+03        1.000000E+00        6.351156E+07
      131       131        6.519048E+07        8.074062E+03        1.285027E+03        1.000000E+00        6.519048E+07
      132       132        6.590786E+07        8.118366E+03        1.292078E+03        1.000000E+00        6.590786E+07
      133       133        6.674451E+07        8.169732E+03        1.300253E+03        1.000000E+00        6.674451E+07
      134       134        6.747485E+07        8.214307E+03        1.307348E+03        1.000000E+00        6.747485E+07
      135       135        6.769088E+07        8.227447E+03        1.309439E+03        1.000000E+00        6.769088E+07
      136       136        7.024170E+07        8.381032E+03        1.333883E+03        1.000000E+00        7.024170E+07
      137       137        7.239371E+07        8.508450E+03        1.354162E+03        1.000000E+00        7.239371E+07
      138       138        7.271945E+07        8.527570E+03        1.357205E+03        1.000000E+00        7.271945E+07
      139       139        7.330662E+07        8.561928E+03        1.362673E+03        1.000000E+00        7.330662E+07
      140       140        7.331551E+07        8.562448E+03        1.362756E+03        1.000000E+00        7.331551E+07
      141       141        7.364387E+07        8.581601E+03        1.365804E+03        1.000000E+00        7.364387E+07
      142       142        7.414277E+07        8.610620E+03        1.370423E+03        1.000000E+00        7.414277E+07
      143       143        7.674099E+07        8.760194E+03        1.394228E+03        1.000000E+00        7.674099E+07
      144       144        7.724618E+07        8.788980E+03        1.398810E+03        1.000000E+00        7.724618E+07
      145       145        7.755145E+07        8.806330E+03        1.401571E+03        1.000000E+00        7.755145E+07
      146       146        7.883336E+07        8.878815E+03        1.413107E+03        1.000000E+00        7.883336E+07
      147       147        7.933595E+07        8.907073E+03        1.417605E+03        1.000000E+00        7.933595E+07
      148       148        7.975329E+07        8.930470E+03        1.421328E+03        1.000000E+00        7.975329E+07
      149       149        8.007997E+07        8.948741E+03        1.424236E+03        1.000000E+00        8.007997E+07
      150       150        8.067952E+07        8.982178E+03        1.429558E+03        1.000000E+00        8.067952E+07
      151       151        8.116030E+07        9.008901E+03        1.433811E+03        1.000000E+00        8.116030E+07
      152       152        8.176308E+07        9.042294E+03        1.439126E+03        1.000000E+00        8.176308E+07
      153       153        8.267272E+07        9.092454E+03        1.447109E+03        1.000000E+00        8.267272E+07
      154       154        8.328611E+07        9.126122E+03        1.452467E+03        1.000000E+00        8.328611E+07
      155       155        8.416947E+07        9.174392E+03        1.460150E+03        1.000000E+00        8.416947E+07
      156       156        8.448016E+07        9.191309E+03        1.462842E+03        1.000000E+00        8.448016E+07
      157       157        8.471776E+07        9.204225E+03        1.464898E+03        1.000000E+00        8.471776E+07
      158       158        8.545427E+07        9.244148E+03        1.471252E+03        1.000000E+00        8.545427E+07
      159       159        8.594004E+07        9.270385E+03        1.475428E+03        1.000000E+00        8.594004E+07
      160       160        8.637069E+07        9.293583E+03        1.479120E+03        1.000000E+00        8.637069E+07
      161       161        8.694480E+07        9.324419E+03        1.484027E+03        1.000000E+00        8.694480E+07
      162       162        8.717449E+07        9.336728E+03        1.485986E+03        1.000000E+00        8.717449E+07
      163       163        8.768520E+07        9.364038E+03        1.490333E+03        1.000000E+00        8.768520E+07
      164       164        8.843714E+07        9.404102E+03        1.496709E+03        1.000000E+00        8.843714E+07
      165       165        8.943874E+07        9.457206E+03        1.505161E+03        1.000000E+00        8.943874E+07
      166       166        9.124079E+07        9.552005E+03        1.520249E+03        1.000000E+00        9.124079E+07
      167       167        9.190328E+07        9.586620E+03        1.525758E+03        1.000000E+00        9.190328E+07
      168       168        9.251539E+07        9.618492E+03        1.530831E+03        1.000000E+00        9.251539E+07
      169       169        9.290886E+07        9.638924E+03        1.534082E+03        1.000000E+00        9.290886E+07
      170       170        9.400281E+07        9.695504E+03        1.543087E+03        1.000000E+00        9.400281E+07
      171       171        9.428693E+07        9.710146E+03        1.545418E+03        1.000000E+00        9.428693E+07
      172       172        9.498886E+07        9.746223E+03        1.551160E+03        1.000000E+00        9.498886E+07
      173       173        9.576574E+07        9.785997E+03        1.557490E+03        1.000000E+00        9.576574E+07
      174       174        9.652162E+07        9.824542E+03        1.563624E+03        1.000000E+00        9.652162E+07
      175       175        9.713778E+07        9.855850E+03        1.568607E+03        1.000000E+00        9.713778E+07
      176       176        9.824563E+07        9.911893E+03        1.577527E+03        1.000000E+00        9.824563E+07
      177       177        9.866464E+07        9.933007E+03        1.580887E+03        1.000000E+00        9.866464E+07
      178       178        9.896993E+07        9.948363E+03        1.583331E+03        1.000000E+00        9.896993E+07
      179       179        9.991481E+07        9.995740E+03        1.590871E+03        1.000000E+00        9.991481E+07
      180       180        1.003740E+08        1.001868E+04        1.594523E+03        1.000000E+00        1.003740E+08
      181       181        1.015477E+08        1.007709E+04        1.603819E+03        1.000000E+00        1.015477E+08
      182       182        1.019611E+08        1.009758E+04        1.607080E+03        1.000000E+00        1.019611E+08
      183       183        1.021049E+08        1.010470E+04        1.608213E+03        1.000000E+00        1.021049E+08
      184       184        1.037369E+08        1.018513E+04        1.621014E+03        1.000000E+00        1.037369E+08
      185       185        1.046416E+08        1.022945E+04        1.628068E+03        1.000000E+00        1.046416E+08
      186       186        1.052633E+08        1.025979E+04        1.632897E+03        1.000000E+00        1.052633E+08
      187       187        1.062768E+08        1.030906E+04        1.640738E+03        1.000000E+00        1.062768E+08
